date,value
abfghi-logACC,0.6424641465092285
abfghi-gbtACC,0.6565401333639038
abfghi-logROC,0.6920695495056643
abfghi-gbtROC,0.7125998739681878
abehi-logACC,0.643207057969353
abehi-gbtACC,0.6581139038557071
abehi-logROC,0.6938923017624947
abehi-gbtROC,0.716559824008361
abegi-logACC,0.5988377278459247
abegi-gbtACC,0.6261591482288205
abegi-logROC,0.6372959701355477
abegi-gbtROC,0.6772720629735739
abegh-logACC,0.6449117944896633
abegh-gbtACC,0.6577203179334326
abegh-logROC,0.6956562995940764
abegh-gbtROC,0.7134193877230445
abeghi-logACC,0.6440375921892316
abeghi-gbtACC,0.6608241048568917
abeghi-logROC,0.6948787528622297
abeghi-gbtROC,0.718827619219871
abefi-logACC,0.5932859967900951
abefi-gbtACC,0.619951325996408
abefi-logROC,0.6348157928834274
abefi-gbtROC,0.6661252304095371
abefh-logACC,0.642289149375215
abefh-gbtACC,0.6487153884367
abefh-logROC,0.6950461336049922
abefh-gbtROC,0.707041924742472
abefhi-logACC,0.6432945374297834
abefhi-gbtACC,0.6557093507585311
abefhi-logROC,0.6940783742423161
abefhi-gbtROC,0.7134260026498357
abefg-logACC,0.592586399938859
abefg-gbtACC,0.6176786178302571
abefg-logROC,0.6351431276109967
abefg-gbtROC,0.6648156559224689
abefgi-logACC,0.5973074630287745
abefgi-gbtACC,0.6226183270281631
abefgi-logROC,0.6374500329047754
abefgi-gbtROC,0.6743213583177875
abefgh-logACC,0.6437752875539762
abefgh-gbtACC,0.6554472658489052
abefgh-logROC,0.6958987479369874
abefgh-gbtROC,0.710870502199589
abefghi-logACC,0.6434692861783026
abefghi-gbtACC,0.6607366540563262
abefghi-logROC,0.6950169422461183
abefghi-gbtROC,0.7161768913038917
abdhi-logACC,0.6392730998509686
abdhi-gbtACC,0.6472294031105507
abdhi-logROC,0.6842911598873438
abdhi-gbtROC,0.7052966401558995
abdgi-logACC,0.5532438190225075
abdgi-gbtACC,0.5822269479154725
abdgi-logROC,0.5749122123055779
abdgi-gbtROC,0.6234396465268717
abdgh-logACC,0.6408905766364782
abdgh-gbtACC,0.6486284535136994
abdgh-logROC,0.6814704034871336
abdgh-gbtROC,0.6987046519154759
abdghi-logACC,0.6404096067866559
abdghi-gbtACC,0.6491965971187282
abdghi-logROC,0.6842791596871433
abdghi-gbtROC,0.7063009505306006
abdfi-logACC,0.5929797470289274
abdfi-gbtACC,0.6178531086399939
abdfi-logROC,0.6298702325749189
abdfi-gbtROC,0.6636370440727444
abdfh-logACC,0.6455240647330811
abdfh-gbtACC,0.6572393098704574
abdfh-logROC,0.6984882366204599
abdfh-gbtROC,0.7179444831432381
abdfhi-logACC,0.6456551549543353
abdfhi-gbtACC,0.6634905900110818
abdfhi-logROC,0.6997992611276119
abdfhi-gbtROC,0.722866319656118
abdfg-logACC,0.5931545339905996
abdfg-gbtACC,0.621962551110092
abdfg-logROC,0.6293461147172199
abdfg-gbtROC,0.6658015572038154
abdfgi-logACC,0.5982690779166189
abdfgi-gbtACC,0.6251975142343996
abdfgi-logROC,0.6316466756500484
abdfgi-gbtROC,0.6737528943988209
abdfgh-logACC,0.6464859088998434
abdfgh-gbtACC,0.6596000133746035
abdfgh-logROC,0.6991832549907586
abdfgh-gbtROC,0.7207800967762686
